u,v,weight
143104,281536,1.5384
457760,748096,1.5391
940720,710848,1.5395
514560,422192,1.5417
802672,963904,1.5423
748592,318640,1.5437
187664,173936,1.5442
920800,98224,1.5453
622960,817296,1.5459
704480,438384,1.5461
511216,62752,1.5471
853616,42528,1.5483
335728,305968,1.5492
873280,702672,1.5497
352224,275040,1.5502
429248,780960,1.5522
959344,843600,1.5531
55040,392288,1.5540
167152,137328,1.5561
830160,720576,1.5573
442000,127408,1.5574
365728,118928,1.5576
282944,176736,1.5579
314240,268176,1.5601
182256,33408,1.5619
198224,534016,1.5629
730000,567024,1.5636
77792,616704,1.5672
829888,154192,1.5680
109664,899904,1.5696
709184,625792,1.5697
559776,294016,1.5711
937616,43664,1.5716
449968,350464,1.5722
477408,221296,1.5722
972032,601584,1.5740
563152,706816,1.5745
641120,35472,1.5761
76400,42336,1.5774
529488,4896,1.5778
73904,37600,1.5795
253952,169008,1.5805
966208,517264,1.5814
933472,84176,1.5829
204960,947840,1.5843
742928,531936,1.5916
195152,200272,1.5932
544000,320256,1.5949
522640,199984,1.5954
87584,13280,1.5968
298976,723904,1.5983
920544,727344,1.6002
562512,115696,1.6027
548176,374960,1.6032
857856,530800,1.6037
462864,449680,1.6055
718320,61360,1.6069
417200,25200,1.6072
456848,287040,1.6103
160512,996480,1.6111
746048,430352,1.6118
45776,37424,1.6119
400640,45296,1.6123
110720,64096,1.6128
910000,530160,1.6132
815472,663024,1.6163
600624,544192,1.6164
136224,685776,1.6165
500720,264800,1.6173
68192,18768,1.6185
610656,483296,1.6204
381504,928432,1.6208
509296,127136,1.6215
42656,674416,1.6249
889264,354512,1.6254
719504,84384,1.6257
373888,759808,1.6277
567104,998064,1.6280
79840,799184,1.6290
177104,162528,1.6298
187520,634864,1.6313
592048,249232,1.6317
581472,24912,1.6342
214032,361280,1.6352
626448,593296,1.6355
463760,120048,1.6355
618784,76816,1.6368
380688,17680,1.6372
562896,825280,1.6374
661360,722656,1.6413
737664,919008,1.6413
867232,607840,1.6415
541568,658624,1.6421
508896,564848,1.6452
298544,89568,1.6469
139472,89840,1.6477
817600,771392,1.6494
976032,660432,1.6517
372032,320976,1.6524
820096,255040,1.6526
94928,38176,1.6530
772416,281920,1.6538
183472,30800,1.6550
498096,383248,1.6556
499248,498400,1.6556
272112,468032,1.6563
969744,276976,1.6571
346416,507632,1.6612
459872,406000,1.6613
485104,799152,1.6628
365424,520784,1.6632
628384,616256,1.6689
306496,44384,1.6693
134032,185552,1.6704
707552,706608,1.6712
89104,942672,1.6719
606656,98016,1.6723
213280,174128,1.6728
969680,43488,1.6752
639920,547296,1.6753
631712,263760,1.6761
236240,28208,1.6780
42128,7472,1.6780
231696,197776,1.6788
501904,787696,1.6791
806400,118624,1.6802
421424,314608,1.6806
336368,221680,1.6819
702608,14896,1.6829
656608,489632,1.6829
810032,497296,1.6830
586160,120208,1.6834
771376,489344,1.6844
323056,124496,1.6850
850720,530240,1.6855
535056,108224,1.6870
604944,67824,1.6872
752640,173824,1.6878
326736,756272,1.6881
545312,634144,1.6904
122576,162192,1.6924
644320,532032,1.6925
555200,238016,1.6937
903904,625712,1.6970
716880,343088,1.6972
531088,464176,1.6983
842448,417216,1.6985
758880,446560,1.6987
342832,415296,1.6991
85728,5120,1.6991
338064,29536,1.7009
740384,159856,1.7015
512112,40464,1.7035
806240,160240,1.7075
700544,675136,1.7076
820000,510608,1.7080
723856,470096,1.7087
735504,171616,1.7088
212656,942944,1.7096
699152,956992,1.7113
210624,388240,1.7117
561280,62416,1.7124
902512,989504,1.7125
209584,124688,1.7131
261472,357536,1.7134
465536,116624,1.7139
675568,571760,1.7140
386304,435056,1.7157
224864,19600,1.7165
819472,31856,1.7178
272544,152720,1.7193
42336,702656,1.7198
839312,636368,1.7221
191040,49312,1.7227
48208,45488,1.7242
636416,383408,1.7243
811664,993920,1.7279
98560,30512,1.7307
69824,65040,1.7311
817664,469888,1.7326
268112,933936,1.7330
409136,56496,1.7330
617264,331856,1.7340
589712,502592,1.7349
797600,32016,1.7350
13808,302304,1.7353
834624,420448,1.7383
914720,520512,1.7387
185840,127216,1.7389
139952,216176,1.7401
130272,75584,1.7416
545728,713328,1.7421
543808,401808,1.7459
420544,210288,1.7464
906176,178176,1.7477
379968,557968,1.7488
116256,47024,1.7493
412640,297136,1.7499
711568,663264,1.7502
30784,509888,1.7518
547152,778256,1.7543
728688,690496,1.7577
960608,446976,1.7579
338384,184048,1.7586
46608,505904,1.7606
965776,962672,1.7621
193424,462768,1.7645
295408,9600,1.7652
982560,119024,1.7669
310960,286448,1.7670
735696,501184,1.7694
81120,632400,1.7712
64288,53488,1.7722
118544,8112,1.7726
645088,571936,1.7743
741040,369808,1.7761
677504,564704,1.7762
169632,997360,1.7764
189040,81040,1.7769
739696,55680,1.7772
466256,112768,1.7789
701840,363776,1.7791
81712,435712,1.7795
144016,107024,1.7807
341984,470160,1.7808
697280,122544,1.7809
669008,421264,1.7846
878912,711376,1.7853
331280,49296,1.7905
555776,259600,1.7946
427392,324064,1.8016
983824,695008,1.8021
935296,333760,1.8049
843792,28544,1.8051
958608,831104,1.8058
423440,96896,1.8076
262448,59424,1.8100
126576,217264,1.8120
951312,892016,1.8124
123104,106896,1.8175
849040,551296,1.8191
318128,179904,1.8192
409248,981104,1.8221
100432,584528,1.8232
877904,398336,1.8250
605440,517312,1.8251
510272,342912,1.8265
242448,658544,1.8273
247216,231744,1.8286
220112,879872,1.8287
692304,33584,1.8313
901168,356032,1.8313
664512,548848,1.8336
970480,894960,1.8337
776880,813680,1.8338
534736,830736,1.8341
316528,222144,1.8351
865056,588224,1.8365
470096,406272,1.8380
996736,266208,1.8380
594848,91776,1.8383
408656,353872,1.8400
565584,751392,1.8417
467024,223296,1.8505
5136,810464,1.8514
701744,363040,1.8518
179168,49248,1.8531
900704,279584,1.8541
20464,391296,1.8552
19792,14368,1.8577
460992,348816,1.8603
316816,110848,1.8611
335504,3648,1.8616
784544,462928,1.8650
683456,359968,1.8651
757200,538816,1.8653
566032,437920,1.8659
831600,189360,1.8681
274656,163792,1.8687
631072,492848,1.8700
272928,261968,1.8711
998064,170976,1.8716
318784,61728,1.8724
392832,283168,1.8730
485120,301072,1.8731
527056,483840,1.8744
20432,18320,1.8747
832,439360,1.8748
187120,912224,1.8766
510080,130144,1.8812
110304,364512,1.8825
350656,938816,1.8828
287424,923728,1.8837
146080,770528,1.8845
955344,676624,1.8856
391072,686592,1.8873
776928,784880,1.8874
487568,366640,1.8885
426880,466256,1.8893
688912,654688,1.8912
383744,231392,1.8941
922992,818560,1.8946
209472,631504,1.8957
384176,289824,1.8969
84464,4160,1.8990
117600,35808,1.9021
829584,911744,1.9041
834624,661088,1.9060
953888,8800,1.9060
489808,112528,1.9091
853184,371088,1.9106
904880,117904,1.9117
367952,697472,1.9119
618752,211664,1.9126
516784,861632,1.9127
523952,426256,1.9129
844224,724784,1.9142
